match_id,team,name,battingStyle,bowlingStyle,playingRole,team1,team2,matchDate,stage,image,description
"T20I # 1825",U.A.E.,"Ahmed Raza","Right hand Bat","Slow Left arm Orthodox",Bowler,Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,"Six-foot-five Ahmed Raza is best known for his economical spells of left-arm spin. In a must-win World Cricket Division Two game for UAE against Oman in 2018, he conceded only 16 runs in nine overs for two wickets, and in an Asia Cup match against Oman in 2016, he took 1 for 6 from three overs."
"T20I # 1871","South Africa","Aiden Markram","Right hand Bat","Right arm Offbreak","Opening Batter",Netherlands,"South Africa","2022-11-06 00:00:00","Super 12",,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe."
"T20I # 1861","South Africa","Aiden Markram","Right hand Bat","Right arm Offbreak","Opening Batter",Pakistan,"South Africa","2022-11-03 00:00:00","Super 12",,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe."
"T20I # 1853","South Africa","Aiden Markram","Right hand Bat","Right arm Offbreak","Opening Batter",India,"South Africa","2022-10-30 00:00:00","Super 12",,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe."
"T20I # 1847","South Africa","Aiden Markram","Right hand Bat","Right arm Offbreak","Opening Batter",Bangladesh,"South Africa","2022-10-27 00:00:00","Super 12",,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe."
"T20I # 1844","South Africa","Aiden Markram","Right hand Bat","Right arm Offbreak","Opening Batter","South Africa",Zimbabwe,"2022-10-24 00:00:00","Super 12",,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe."
"T20I # 1837","West Indies","Akeal Hosein","Left hand Bat","Slow Left arm Orthodox",Bowler,Ireland,"West Indies","2022-10-21 00:00:00",Qualifier,,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming."
"T20I # 1834","West Indies","Akeal Hosein","Left hand Bat","Slow Left arm Orthodox",Bowler,"West Indies",Zimbabwe,"2022-10-19 00:00:00",Qualifier,,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming."
"T20I # 1826","West Indies","Akeal Hosein","Left hand Bat","Slow Left arm Orthodox",Bowler,Scotland,"West Indies","2022-10-17 00:00:00",Qualifier,,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming."
"T20I # 1879",England,"Alex Hales","Right hand Bat","Right arm Medium","Opening Batter",England,Pakistan,"2022-11-13 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
