match_id,team,name,battingStyle,bowlingStyle,playingRole,team1,team2,matchDate,stage,image,description
"T20I # 1877","New Zealand","Kane Williamson","Right hand Bat","Right arm Offbreak","Top order Batter","New Zealand",Pakistan,"2022-11-09 00:00:00","Super 12",,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
"T20I # 1862","New Zealand","Kane Williamson","Right hand Bat","Right arm Offbreak","Top order Batter",Ireland,"New Zealand","2022-11-04 00:00:00","Super 12",,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
"T20I # 1858","New Zealand","Kane Williamson","Right hand Bat","Right arm Offbreak","Top order Batter",England,"New Zealand","2022-11-01 00:00:00","Super 12",,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
"T20I # 1850","New Zealand","Kane Williamson","Right hand Bat","Right arm Offbreak","Top order Batter","New Zealand","Sri Lanka","2022-10-29 00:00:00","Super 12",,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
"T20I # 1846a","New Zealand","Kane Williamson","Right hand Bat","Right arm Offbreak","Top order Batter",Afghanistan,"New Zealand","2022-10-26 00:00:00","Super 12",,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
"T20I # 1839","New Zealand","Kane Williamson","Right hand Bat","Right arm Offbreak","Top order Batter",Australia,"New Zealand","2022-10-22 00:00:00","Super 12",,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
"T20I # 1836",U.A.E.,"Karthik Meiyappan","Right hand Bat",Legbreak,Bowler,Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,
"T20I # 1832",U.A.E.,"Karthik Meiyappan","Right hand Bat",Legbreak,Bowler,"Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,
"T20I # 1825",U.A.E.,"Karthik Meiyappan","Right hand Bat",Legbreak,Bowler,Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,
"T20I # 1836",U.A.E.,"Kashif Daud","Right hand Bat","Right arm Medium fast","Bowling Allrounder",Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,
"T20I # 1832",U.A.E.,"Kashif Daud","Right hand Bat","Right arm Medium fast","Bowling Allrounder","Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,
"T20I # 1825",U.A.E.,"Kashif Daud","Right hand Bat","Right arm Medium fast","Bowling Allrounder",Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,
"T20I # 1867","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,England,"Sri Lanka","2022-11-05 00:00:00","Super 12",,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1856","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,Afghanistan,"Sri Lanka","2022-11-01 00:00:00","Super 12",,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1850","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,"New Zealand","Sri Lanka","2022-10-29 00:00:00","Super 12",,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1845","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,Australia,"Sri Lanka","2022-10-25 00:00:00","Super 12",,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1841","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,Ireland,"Sri Lanka","2022-10-23 00:00:00","Super 12",,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1835","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,Netherlands,"Sri Lanka","2022-10-20 00:00:00",Qualifier,,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1832","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,"Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1823","Sri Lanka","Kasun Rajitha","Right hand Bat","Right arm Medium fast",Bowler,Namibia,"Sri Lanka","2022-10-16 00:00:00",Qualifier,,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
"T20I # 1871","South Africa","Keshav Maharaj","Right hand Bat","Slow Left arm Orthodox",Bowler,Netherlands,"South Africa","2022-11-06 00:00:00","Super 12",,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
"T20I # 1861","South Africa","Keshav Maharaj","Right hand Bat","Slow Left arm Orthodox",Bowler,Pakistan,"South Africa","2022-11-03 00:00:00","Super 12",,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
"T20I # 1853","South Africa","Keshav Maharaj","Right hand Bat","Slow Left arm Orthodox",Bowler,India,"South Africa","2022-10-30 00:00:00","Super 12",,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
"T20I # 1847","South Africa","Keshav Maharaj","Right hand Bat","Slow Left arm Orthodox",Bowler,Bangladesh,"South Africa","2022-10-27 00:00:00","Super 12",,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
"T20I # 1844","South Africa","Keshav Maharaj","Right hand Bat","Slow Left arm Orthodox",Bowler,"South Africa",Zimbabwe,"2022-10-24 00:00:00","Super 12",,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
"T20I # 1878",India,"KL Rahul","Right hand Bat",,"Opening Batter",England,India,"2022-11-10 00:00:00","Super 12",,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
"T20I # 1873",India,"KL Rahul","Right hand Bat",,"Opening Batter",India,Zimbabwe,"2022-11-06 00:00:00","Super 12",,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
"T20I # 1860",India,"KL Rahul","Right hand Bat",,"Opening Batter",Bangladesh,India,"2022-11-02 00:00:00","Super 12",,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
"T20I # 1853",India,"KL Rahul","Right hand Bat",,"Opening Batter",India,"South Africa","2022-10-30 00:00:00","Super 12",,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
"T20I # 1848",India,"KL Rahul","Right hand Bat",,"Opening Batter",India,Netherlands,"2022-10-27 00:00:00","Super 12",,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
"T20I # 1842",India,"KL Rahul","Right hand Bat",,"Opening Batter",India,Pakistan,"2022-10-23 00:00:00","Super 12",,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
"T20I # 1867","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter",England,"Sri Lanka","2022-11-05 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1856","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter",Afghanistan,"Sri Lanka","2022-11-01 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1850","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter","New Zealand","Sri Lanka","2022-10-29 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1845","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter",Australia,"Sri Lanka","2022-10-25 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1841","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter",Ireland,"Sri Lanka","2022-10-23 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1835","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter",Netherlands,"Sri Lanka","2022-10-20 00:00:00",Qualifier,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1832","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter","Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1823","Sri Lanka","Kusal Mendis","Right hand Bat",Legbreak,"Wicketkeeper Batter",Namibia,"Sri Lanka","2022-10-16 00:00:00",Qualifier,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png","Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four."
"T20I # 1837","West Indies","Kyle Mayers","Left hand Bat","Right arm Medium","Batting Allrounder",Ireland,"West Indies","2022-10-21 00:00:00",Qualifier,,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year."
"T20I # 1834","West Indies","Kyle Mayers","Left hand Bat","Right arm Medium","Batting Allrounder","West Indies",Zimbabwe,"2022-10-19 00:00:00",Qualifier,,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year."
"T20I # 1826","West Indies","Kyle Mayers","Left hand Bat","Right arm Medium","Batting Allrounder",Scotland,"West Indies","2022-10-17 00:00:00",Qualifier,,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year."
"T20I # 1867","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,England,"Sri Lanka","2022-11-05 00:00:00","Super 12",,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1856","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,Afghanistan,"Sri Lanka","2022-11-01 00:00:00","Super 12",,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1850","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,"New Zealand","Sri Lanka","2022-10-29 00:00:00","Super 12",,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1845","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,Australia,"Sri Lanka","2022-10-25 00:00:00","Super 12",,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1841","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,Ireland,"Sri Lanka","2022-10-23 00:00:00","Super 12",,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1835","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,Netherlands,"Sri Lanka","2022-10-20 00:00:00",Qualifier,,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1832","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,"Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1823","Sri Lanka","Lahiru Kumara","Left hand Bat","Right arm Fast",Bowler,Namibia,"Sri Lanka","2022-10-16 00:00:00",Qualifier,,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
"T20I # 1879",England,"Liam Livingstone","Right hand Bat",Legbreak,"Batting Allrounder",England,Pakistan,"2022-11-13 00:00:00","Super 12",,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the "belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka"
"T20I # 1878",England,"Liam Livingstone","Right hand Bat",Legbreak,"Batting Allrounder",England,India,"2022-11-10 00:00:00","Super 12",,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the "belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka"
"T20I # 1867",England,"Liam Livingstone","Right hand Bat",Legbreak,"Batting Allrounder",England,"Sri Lanka","2022-11-05 00:00:00","Super 12",,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the "belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka"
"T20I # 1858",England,"Liam Livingstone","Right hand Bat",Legbreak,"Batting Allrounder",England,"New Zealand","2022-11-01 00:00:00","Super 12",,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the "belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka"
"T20I # 1849b",England,"Liam Livingstone","Right hand Bat",Legbreak,"Batting Allrounder",Australia,England,"2022-10-28 00:00:00","Super 12",,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the "belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka"
"T20I # 1846",England,"Liam Livingstone","Right hand Bat",Legbreak,"Batting Allrounder",England,Ireland,"2022-10-26 00:00:00","Super 12",,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the "belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka"
"T20I # 1840",England,"Liam Livingstone","Right hand Bat",Legbreak,"Batting Allrounder",Afghanistan,England,"2022-10-22 00:00:00","Super 12",,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the "belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka"
"T20I # 1872",Bangladesh,"Litton Das","Right hand Bat",,"Wicketkeeper Batter",Bangladesh,Pakistan,"2022-11-06 00:00:00","Super 12",,"Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015."
"T20I # 1860",Bangladesh,"Litton Das","Right hand Bat",,"Wicketkeeper Batter",Bangladesh,India,"2022-11-02 00:00:00","Super 12",,"Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015."
"T20I # 1851",Bangladesh,"Litton Das","Right hand Bat",,"Wicketkeeper Batter",Bangladesh,Zimbabwe,"2022-10-30 00:00:00","Super 12",,"Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015."
"T20I # 1847",Bangladesh,"Litton Das","Right hand Bat",,"Wicketkeeper Batter",Bangladesh,"South Africa","2022-10-27 00:00:00","Super 12",,"Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015."
